iter	Passed	Remaining
401	21781	32401
402	21801	32297
403	21819	32189
404	21889	32158
405	21954	32120
406	22015	32077
407	22081	32040
408	22132	31980
409	22201	31948
410	22251	31888
411	22310	31841
412	22372	31798
413	22436	31758
414	22507	31728
415	22560	31671
416	22611	31612
417	22630	31509
418	22682	31452
419	22733	31393
420	22781	31330
421	22825	31263
422	22840	31155
423	22867	31064
424	22923	31013
425	22968	30948
426	23022	30894
427	23090	30859
428	23151	30815
429	23205	30760
430	23259	30706
431	23314	30654
432	23388	30626
433	23468	30605
434	23536	30570
435	23599	30528
436	23651	30470
437	23697	30406
438	23744	30343
439	23798	30289
440	23838	30216
441	23877	30144
442	23939	30100
443	23988	30040
444	24043	29986
445	24098	29934
446	24146	29872
447	24200	29818
448	24235	29740
449	24280	29676
450	24325	29611
451	24369	29545
452	24412	29478
453	24465	29423
454	24512	29360
455	24559	29298
456	24607	29238
457	24663	29187
458	24724	29141
459	24798	29111
460	24851	29056
461	24928	29029
462	24981	28973
463	25017	28899
464	25071	28846
465	25112	28776
466	25154	28709
467	25202	28648
468	25245	28583
469	25293	28522
470	25342	28463
471	25387	28399
472	25434	28337
473	25492	28289
474	25572	28264
475	25644	28230
476	25711	28190
477	25756	28126
478	25818	28082
479	25897	28055
480	25949	27999
481	25999	27941
482	26051	27884
483	26108	27834
484	26171	27790
485	26228	27740
486	26278	27681
487	26329	27623
488	26378	27564
489	26423	27502
490	26465	27435
491	26524	27386
492	26590	27346
493	26650	27297
494	26724	27263
495	26771	27203
496	26840	27164
497	26889	27105
498	26943	27051
499	26987	26987
500	27044	26936
501	27133	26917
502	27178	26854
503	27226	26794
504	27274	26734
505	27312	26665
506	27346	26591
507	27392	26529
508	27448	26477
509	27491	26413
510	27532	26347
511	27581	26288
512	27633	26233
513	27691	26183
514	27741	26125
515	27806	26081
516	27859	26027
517	27901	25961
518	27942	25896
519	27991	25838
520	28053	25791
521	28111	25741
522	28163	25686
523	28225	25640
524	28286	25592
525	28332	25531
526	28377	25470
527	28436	25420
528	28491	25367
529	28553	25321
530	28622	25280
531	28680	25229
532	28738	25179
533	28789	25123
534	28848	25073
535	28894	25013
536	28946	24957
537	28990	24894
538	29032	24831
539	29083	24775
540	29142	24725
541	29200	24674
542	29248	24615
543	29300	24561
544	29353	24506
545	29403	24448
546	29450	24389
547	29504	24335
548	29551	24276
549	29602	24220
550	29651	24162
551	29703	24107
552	29755	24051
553	29806	23996
554	29857	23940
555	29927	23898
556	29979	23843
557	30035	23791
558	30085	23734
559	30136	23678
560	30188	23623
561	30261	23584
562	30331	23543
563	30380	23485
564	30438	23435
565	30506	23391
566	30566	23342
567	30636	23300
568	30687	23245
569	30751	23198
570	30808	23146
571	30856	23088
572	30904	23030
573	30957	22975
574	31007	22918
575	31067	22868
576	31130	22821
577	31195	22776
578	31271	22738
579	31330	22687
580	31385	22634
581	31441	22581
582	31500	22531
583	31542	22468
584	31594	22412
585	31650	22360
586	31696	22300
587	31756	22250
588	31815	22200
589	31880	22153
590	31925	22094
591	31973	22035
592	32038	21989
593	32103	21942
594	32161	21891
595	32226	21844
596	32282	21791
597	32342	21742
598	32395	21687
599	32447	21631
600	32502	21578
601	32554	21522
602	32603	21465
603	32649	21405
604	32703	21351
605	32785	21316
606	32848	21267
607	32893	21207
608	32955	21158
